               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/Stop Sign_mAP,metrics/Traffic Signal_mAP,metrics/Stop Sign_mAP_50,metrics/Traffic Signal_mAP_50
                  27,            0.033319,            0.013136,          0.00056218,             0.65102,             0.66477,             0.56155,             0.35012,            0.030875,           0.0052416,            0.081586,            0.004852,            0.004852,            0.004852,             0.51296,             0.18728,              0.7957,              0.3274
                  28,            0.033515,            0.012705,          0.00070118,             0.65997,             0.66477,             0.54814,              0.3582,            0.029626,           0.0051639,            0.084106,            0.004654,            0.004654,            0.004654,             0.51718,             0.19922,             0.78201,             0.31428
                  29,            0.032556,            0.012938,           0.0007043,             0.64273,             0.66477,             0.54821,             0.35693,            0.025898,           0.0049686,            0.083676,            0.004456,            0.004456,            0.004456,             0.51297,             0.20088,             0.76296,             0.33347
                  30,            0.032905,            0.012195,           0.0006094,              0.6575,             0.69602,             0.55345,             0.36261,            0.030287,           0.0052595,            0.084628,            0.004258,            0.004258,            0.004258,             0.51791,             0.20731,             0.77109,             0.33581
                  31,             0.03189,            0.011713,          0.00047187,              0.6751,             0.69306,             0.56763,             0.38746,             0.02604,           0.0049515,            0.085898,             0.00406,             0.00406,             0.00406,             0.54334,             0.23157,             0.78633,             0.34893
                  32,            0.032042,             0.01205,          0.00077273,             0.68055,             0.68847,              0.5659,             0.35648,            0.031371,           0.0051203,            0.086041,            0.003862,            0.003862,            0.003862,             0.51032,             0.20265,             0.76903,             0.36278
                  33,            0.030603,            0.011968,          0.00061867,             0.65832,             0.66477,              0.5752,              0.3907,            0.026693,           0.0047305,             0.08541,            0.003664,            0.003664,            0.003664,             0.55501,             0.22639,             0.81237,             0.33803
                  34,            0.030662,            0.012049,          0.00088449,             0.63658,             0.72727,             0.54568,             0.34012,            0.033115,           0.0052574,            0.087128,            0.003466,            0.003466,            0.003466,             0.49951,             0.18074,             0.77584,             0.31552
                  35,            0.030664,            0.012238,          0.00053954,             0.65323,             0.66157,             0.54936,             0.37452,            0.030287,           0.0052226,            0.088229,            0.003268,            0.003268,            0.003268,              0.5469,             0.20214,             0.78622,              0.3125
                  36,            0.029718,            0.011197,          0.00042552,             0.68578,             0.66252,              0.5798,             0.39613,             0.02781,            0.004787,             0.08808,             0.00307,             0.00307,             0.00307,             0.55061,             0.24165,             0.79013,             0.36947
                  37,            0.029454,            0.012182,          0.00047199,             0.68153,             0.66477,             0.58445,             0.39086,            0.027588,           0.0047867,            0.089517,            0.002872,            0.002872,            0.002872,              0.5383,             0.24343,             0.79984,             0.36905
                  38,            0.028342,            0.011713,          0.00032933,             0.66273,             0.66477,             0.56554,              0.3866,            0.028772,           0.0049503,            0.090805,            0.002674,            0.002674,            0.002674,             0.53414,             0.23906,             0.78431,             0.34677
                  39,            0.028538,            0.011185,           0.0004156,             0.66264,             0.72727,             0.56995,             0.39272,            0.028186,            0.004848,             0.09234,            0.002476,            0.002476,            0.002476,             0.53416,             0.25128,              0.7739,               0.366
                  40,            0.028893,            0.011323,            0.000312,             0.66852,             0.66477,             0.57046,             0.40848,            0.030095,           0.0050778,            0.093793,            0.002278,            0.002278,            0.002278,             0.56596,             0.25101,             0.78009,             0.36083
                  41,            0.028158,            0.011129,          0.00030171,             0.68028,             0.66477,             0.55814,             0.38165,            0.031587,           0.0050552,            0.093753,             0.00208,             0.00208,             0.00208,             0.52149,             0.24181,             0.75386,             0.36241
                  42,            0.027721,             0.01118,          0.00049954,             0.66385,             0.66477,             0.55952,             0.39258,            0.030019,           0.0049889,            0.094107,            0.001882,            0.001882,            0.001882,             0.53308,             0.25208,             0.76759,             0.35145
                  43,            0.026793,            0.010889,          0.00026332,             0.67322,             0.69602,             0.57179,             0.39491,            0.030824,           0.0049605,            0.094284,            0.001684,            0.001684,            0.001684,             0.53524,             0.25458,             0.77647,              0.3671
                  44,            0.027272,            0.010872,          0.00025954,             0.66316,             0.69602,             0.55977,              0.3889,             0.03008,           0.0049809,            0.094666,            0.001486,            0.001486,            0.001486,             0.53207,             0.24574,             0.76327,             0.35626
                  45,            0.027474,            0.011498,          0.00030547,             0.67506,             0.66477,             0.56626,             0.40263,            0.028892,           0.0049219,            0.095877,            0.001288,            0.001288,            0.001288,             0.55404,             0.25122,              0.7677,             0.36482
                  46,            0.026413,            0.011083,          0.00035171,              0.6763,             0.66477,             0.55796,             0.39464,            0.031614,           0.0052211,            0.096518,             0.00109,             0.00109,             0.00109,             0.53782,             0.25147,             0.76048,             0.35544
                  47,            0.026282,            0.010681,          0.00021139,             0.68063,             0.66477,             0.56767,             0.39542,            0.031686,           0.0053067,            0.096661,            0.000892,            0.000892,            0.000892,             0.54073,             0.25011,             0.76728,             0.36807
                  48,             0.02577,            0.011078,          0.00027616,             0.68025,             0.66477,             0.56772,             0.39936,            0.030814,           0.0052531,            0.097513,            0.000694,            0.000694,            0.000694,             0.55265,             0.24607,             0.77634,              0.3591
                  49,            0.026086,            0.010806,          0.00033985,             0.68012,             0.66477,             0.57037,              0.4033,            0.030926,           0.0052772,            0.097665,            0.000496,            0.000496,            0.000496,             0.55636,             0.25024,             0.77938,             0.36136
